sno,pm25,pm10,o3,no2,so2,co,lat,long,city,district,country
58,34,21,31,0,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
59,46,15,30,1,1,0,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
60,32,14,32,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
61,30,18,37,1,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
62,40,15,26,1,0,0,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
63,37,21,32,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
64,39,16,30,1,0,0,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
65,35,17,27,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
66,40,14,34,1,0,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
67,49,10,28,1,0,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
68,32,14,35,1,0,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
69,49,14,25,1,0,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
70,50,19,36,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
71,53,23,39,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
72,61,21,33,2,0,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
73,57,30,42,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
74,72,26,34,1,0,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
75,66,20,35,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
76,45,15,30,2,0,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
77,32,15,35,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
78,39,22,41,1,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
79,57,25,41,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
80,67,19,32,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
81,57,16,36,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
82,49,30,38,2,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
83,74,34,38,1,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
84,80,40,40,2,0,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
85,83,25,37,1,0,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
86,61,14,29,1,0,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
87,42,13,30,2,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
88,40,15,31,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
89,39,22,29,1,1,0,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
90,43,18,29,2,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
91,45,37,40,3,2,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
92,82,38,34,3,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
93,87,29,33,2,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
94,63,26,18,3,0,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
95,62,38,18,4,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
96,95,61,47,2,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
97,139,56,33,2,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
98,127,51,33,2,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
99,125,48,25,1,2,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
100,74,24,26,1,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
101,40,25,29,4,2,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
102,54,37,33,2,0,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
103,62,19,33,2,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
104,52,21,28,2,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
105,54,18,27,2,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
106,54,23,26,4,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
107,61,19,23,2,1,5,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
108,64,18,23,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
109,54,21,17,6,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
110,58,25,25,2,2,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
111,55,15,26,1,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
112,44,17,24,2,2,0,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
113,51,20,23,2,1,0,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
114,55,22,23,2,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
115,59,15,22,2,1,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
116,50,16,16,2,0,3,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
117,44,17,9,4,1,4,38.2089,127.9495,Bangsan_Myeon,Gangwon,South_Korea
